,vocab,count,valence
370,C1NNCS1,4,"[(2, 1, 1, 2, 0)]"
371,C1NSCS1,2,"[(2, 1, 0, 2, 0)]"
372,C1OCOO1,2,"[(2, 0, 2, 0, 0)]"
373,C1O[SH+]C[SH+]1,1,"[(2, 0, 1, 2, 1)]"
374,C1SCSS1,2,"[(2, 0, 2, 0, 0)]"
375,C1SC[SH+]S1,2,"[(2, 0, 2, 1, 0)]"
376,C1SC[SH]=[S+]1,1,"[(2, 4, 2, 3, 0)]"
377,C1S[SH+]C[SH+]1,2,"[(2, 0, 1, 2, 1)]"
378,C1[N-]NCS1,1,"[(2, 0, 1, 2, 0)]"
379,N1=NNN=N1,2,"[(0, 0, 1, 0, 0)]"
380,N1=S=[SH]N=[S+]1,2,"[(0, 2, 3, 0, 0)]"
381,N1=[S+][N-][SH]=[SH]1,1,"[(0, 0, 0, 3, 3)]"
382,[BH-]1=[O+]CCO1,1,"[(1, 0, 2, 2, 0)]"
383,[BH-]1=[S+]CCS1,1,"[(1, 0, 2, 2, 0)]"
384,[BH-]1=[S+]CNN1,1,"[(1, 0, 2, 1, 1)]"
385,[BH2-]1C=CC=C1,6,"[(2, 1, 1, 1, 1)]"
386,[BH2-]1C=CC=[NH+]1,10,"[(2, 1, 1, 1, 1)]"
387,[BH2-]1C=CC[NH2+]1,10,"[(2, 1, 1, 2, 2)]"
388,[BH2-]1C=CC[SH+]1,1,"[(2, 1, 1, 2, 1)]"
389,[BH2-]1C=CN=[NH+]1,2,"[(2, 1, 1, 0, 1)]"
390,[BH2-]1C=[NH+]CC1,3,"[(2, 1, 1, 2, 2)]"
391,[BH2-]1CC=CC1,1,"[(2, 2, 1, 1, 2)]"
392,[BH2-]1CC=CO1,1,"[(2, 2, 1, 1, 0)]"
393,[BH2-]1CC=N[NH2+]1,1,"[(2, 2, 1, 0, 2)]"
394,[BH2-]1CNC=[NH+]1,1,"[(2, 2, 1, 1, 1)]"
395,[BH2-]1COCO1,1,"[(2, 2, 0, 2, 0)]"
396,[BH2-]1NCC=[NH+]1,1,"[(2, 1, 2, 1, 1)]"
397,[BH2-]1NCCO1,3,"[(2, 1, 2, 2, 0)]"
398,[BH2-]1OC=CO1,5,"[(2, 0, 1, 1, 0)]"
399,[BH2-]1OC=[NH+]O1,4,"[(2, 0, 1, 1, 0)]"
400,[BH2-]1OCCO1,11,"[(2, 0, 2, 2, 0)]"
401,[BH2-]1OC[NH2+]O1,4,"[(2, 0, 2, 2, 0)]"
402,[BH2-]1SC=CS1,1,"[(2, 0, 1, 1, 0)]"
403,[BH2-]1SCCS1,1,"[(2, 0, 2, 2, 0)]"
404,[BH2-]1[NH+]=CCO1,3,"[(2, 1, 1, 2, 0)]"
405,[BH2-]1[NH2+]C=CO1,1,"[(2, 2, 1, 1, 0)]"
406,[BH2-]1[NH2+]CCO1,11,"[(2, 2, 2, 2, 0)]"
407,[BH2-]1[NH2+]CCS1,1,"[(2, 2, 2, 2, 0)]"
408,[C-]1=[NH+]C=CN1,11,"[(0, 1, 1, 1, 1)]"
409,[C-]1=[NH+]C=C[NH2+]1,2,"[(0, 1, 1, 1, 2)]"
410,[C-]1=[NH+]C=NN1,2,"[(0, 1, 1, 0, 1)]"
411,[C-]1=[NH+]CC=[NH+]1,1,"[(0, 1, 2, 1, 1)]"
412,[C-]1=[NH+]CCC1,1,"[(0, 1, 2, 2, 2)]"
413,[C-]1=[NH+]CCN1,3,"[(0, 1, 2, 2, 1)]"
414,[C-]1=[NH+]N=CN1,1,"[(0, 1, 0, 1, 1)]"
