,vocab,count,valence
773,C1=CCNCN=C1,1,"[(1, 1, 2, 1, 2, 0, 1)]"
774,C1=CCNCNC1,2,"[(1, 1, 2, 1, 2, 1, 2)]"
775,C1=CCNSC=C1,3,"[(1, 1, 2, 1, 4, 1, 1)]"
776,C1=CCOC=CC1,18,"[(1, 1, 2, 0, 1, 1, 2)]"
777,C1=CCOCC=C1,23,"[(1, 1, 2, 0, 2, 1, 1)]"
778,C1=CCOCCC1,9,"[(1, 1, 2, 0, 2, 2, 2)]"
779,C1=CCOCOC1,9,"[(1, 1, 2, 0, 2, 0, 2)]"
780,C1=CCO[SH+]OC1,1,"[(1, 1, 2, 0, 1, 0, 2)]"
781,C1=CCSC=CC1,1,"[(1, 1, 2, 4, 1, 1, 2)]"
782,C1=CCSCC=C1,3,"[(1, 1, 2, 0, 2, 1, 1)]"
783,C1=CCSCSC1,3,"[(1, 1, 2, 0, 2, 0, 2)]"
784,C1=CC[NH+]=NC=C1,1,"[(1, 1, 2, 1, 0, 1, 1)]"
785,C1=CC[S+]=[SH]SC1,1,"[(1, 1, 2, 0, 1, 2, 2)]"
786,C1=CC[SH+]CC=C1,1,"[(1, 1, 2, 1, 2, 1, 1)]"
787,C1=CC[SH+]CSC1,1,"[(1, 1, 2, 1, 2, 0, 2)]"
788,C1=CN=CC=NC1,1,"[(1, 1, 0, 1, 1, 0, 2)]"
789,C1=CN=CCC=N1,9,"[(1, 1, 0, 1, 2, 1, 0)]"
790,C1=CN=CCCC1,1,"[(1, 1, 0, 1, 2, 2, 2)]"
791,C1=CN=CCNC1,3,"[(1, 1, 0, 1, 2, 1, 2)]"
792,C1=CN=CCSC1,1,"[(1, 1, 0, 1, 2, 0, 2)]"
793,C1=CN=CN=CC1,3,"[(1, 1, 0, 1, 0, 1, 2)]"
794,C1=CN=CNC=C1,3,"[(1, 1, 0, 1, 1, 1, 1)]"
795,C1=CN=CNCC1,1,"[(1, 1, 0, 1, 1, 2, 2)]"
796,C1=CN=[SH]C=CC1,1,"[(1, 1, 0, 3, 1, 1, 2)]"
797,C1=CNC=CCC1,15,"[(1, 1, 1, 1, 1, 2, 2)]"
798,C1=CNC=CN=C1,4,"[(1, 1, 1, 1, 1, 0, 1)]"
799,C1=CNC=CNC1,9,"[(1, 1, 1, 1, 1, 1, 2)]"
800,C1=CNC=CSC1,3,"[(1, 1, 1, 1, 1, 4, 2)]"
801,C1=CNC=NNC1,1,"[(1, 1, 1, 1, 0, 1, 2)]"
802,C1=CNCCC=N1,17,"[(1, 1, 1, 2, 2, 1, 0)]"
803,C1=CNCCCC1,29,"[(1, 1, 1, 2, 2, 2, 2)]"
804,C1=CNCCCN1,40,"[(1, 1, 1, 2, 2, 2, 1)]"
805,C1=CNCCN=C1,10,"[(1, 1, 1, 2, 2, 0, 1)]"
806,C1=CNCCNC1,24,"[(1, 1, 1, 2, 2, 1, 2)]"
807,C1=CNCCOC1,5,"[(1, 1, 1, 2, 2, 0, 2)]"
808,C1=CNCCSC1,3,"[(1, 1, 1, 2, 2, 4, 2)]"
809,C1=CNCN=CC1,1,"[(1, 1, 1, 2, 0, 1, 2)]"
810,C1=CNCNC=C1,6,"[(1, 1, 1, 2, 1, 1, 1)]"
811,C1=CNCNCC1,5,"[(1, 1, 1, 2, 1, 2, 2)]"
812,C1=CNCNCN1,1,"[(1, 1, 1, 2, 1, 2, 1)]"
813,C1=CNCNN=C1,2,"[(1, 1, 1, 2, 1, 0, 1)]"
814,C1=CNCNNC1,2,"[(1, 1, 1, 2, 1, 1, 2)]"
815,C1=CNCNOC1,2,"[(1, 1, 1, 2, 1, 0, 2)]"
816,C1=CNN=CCC1,1,"[(1, 1, 1, 0, 1, 2, 2)]"
817,C1=CNN=CCN1,1,"[(1, 1, 1, 0, 1, 2, 1)]"
818,C1=CNNCCC1,1,"[(1, 1, 1, 1, 2, 2, 2)]"
819,C1=CNSN=CN1,1,"[(1, 1, 1, 4, 0, 1, 1)]"
820,C1=CNSNC=N1,1,"[(1, 1, 1, 4, 1, 1, 0)]"
821,C1=COC=CCC1,3,"[(1, 1, 0, 1, 1, 2, 2)]"
822,C1=COC=CN=C1,6,"[(1, 1, 0, 1, 1, 0, 1)]"
823,C1=COC=CNC1,6,"[(1, 1, 0, 1, 1, 1, 2)]"
824,C1=COC=COC1,3,"[(1, 1, 0, 1, 1, 0, 2)]"
825,C1=COC=CSN1,1,"[(1, 1, 0, 1, 1, 4, 1)]"
826,C1=COCCCC1,12,"[(1, 1, 0, 2, 2, 2, 2)]"
827,C1=COCCCN1,2,"[(1, 1, 0, 2, 2, 2, 1)]"
828,C1=COCCCO1,5,"[(1, 1, 0, 2, 2, 2, 0)]"
829,C1=COCCN=C1,1,"[(1, 1, 0, 2, 2, 0, 1)]"
830,C1=COCCNC1,4,"[(1, 1, 0, 2, 2, 1, 2)]"
831,C1=COCCOC1,4,"[(1, 1, 0, 2, 2, 0, 2)]"
832,C1=COCNNC1,1,"[(1, 1, 0, 2, 1, 1, 2)]"
833,C1=COCOC=C1,10,"[(1, 1, 0, 2, 0, 1, 1)]"
834,C1=CONCCC1,1,"[(1, 1, 0, 1, 2, 2, 2)]"
835,C1=COSN=CN1,1,"[(1, 1, 0, 4, 0, 1, 1)]"
836,C1=CSC=CCC1,1,"[(1, 1, 4, 1, 1, 2, 2)]"
837,C1=CSC=CN=C1,1,"[(1, 1, 0, 1, 1, 0, 1)]"
838,C1=CSC=CNC1,2,"[(1, 1, 0, 1, 1, 1, 2)]"
839,C1=CSCCC=N1,2,"[(1, 1, 0, 2, 2, 1, 0)]"
840,C1=CSCCCC1,2,"[(1, 1, 4, 2, 2, 2, 2)]"
841,C1=CSCCCN1,23,"[(1, 1, 0, 2, 2, 2, 1)]"
842,C1=CSCCCO1,1,"[(1, 1, 0, 2, 2, 2, 0)]"
843,C1=CSCCCS1,10,"[(1, 1, 0, 2, 2, 2, 0)]"
844,C1=CSCCNC1,1,"[(1, 1, 0, 2, 2, 1, 2)]"
845,C1=CSCC[NH2+]C1,1,"[(1, 1, 0, 2, 2, 2, 2)]"
846,C1=CSCOCS1,1,"[(1, 1, 0, 2, 0, 2, 0)]"
847,C1=CSNCCC1,5,"[(1, 1, 4, 1, 2, 2, 2)]"
848,C1=CSNCCO1,1,"[(1, 1, 4, 1, 2, 2, 0)]"
849,C1=CSNCCS1,1,"[(1, 1, 4, 1, 2, 2, 0)]"
850,C1=CSNCNC1,1,"[(1, 1, 4, 1, 2, 1, 2)]"
851,C1=CSNSC=C1,1,"[(1, 1, 4, 1, 4, 1, 1)]"
852,C1=CSSSSS1,5,"[(1, 1, 0, 0, 0, 0, 0)]"
853,C1=C[NH+]=CCCC1,1,"[(1, 1, 1, 1, 2, 2, 2)]"
854,C1=C[SH+]CCCN1,6,"[(1, 1, 1, 2, 2, 2, 1)]"
855,C1=C[SH+]CCCS1,1,"[(1, 1, 1, 2, 2, 2, 0)]"
856,C1=NCCCCO1,2,"[(1, 0, 2, 2, 2, 2, 0)]"
857,C1=NCCCN=C1,1,"[(1, 0, 2, 2, 2, 0, 1)]"
858,C1=NCCCNC1,1,"[(1, 0, 2, 2, 2, 1, 2)]"
859,C1=NCCCOC1,1,"[(1, 0, 2, 2, 2, 0, 2)]"
860,C1=NN=CCCC1,1,"[(1, 0, 0, 1, 2, 2, 2)]"
861,C1=NN=CCSC1,2,"[(1, 0, 0, 1, 2, 0, 2), (1, 0, 0, 1, 2, 4, 2)]"
862,C1=NNCNCC1,2,"[(1, 0, 1, 2, 1, 2, 2)]"
863,C1=NNCNOC1,1,"[(1, 0, 1, 2, 1, 0, 2)]"
864,C1=NSCCNC1,1,"[(1, 0, 4, 2, 2, 1, 2)]"
865,C1=[S+]CCCSC1,1,"[(1, 0, 2, 2, 2, 0, 2)]"
866,C1=[S+][N-]S[N-][S+]=C1,1,"[(1, 0, 0, 0, 0, 0, 1)]"
867,C1CCCCCC1,57,"[(2, 2, 2, 2, 2, 2, 2)]"
868,C1CCCNCC1,50,"[(2, 2, 2, 2, 1, 2, 2)]"
869,C1CCCOCC1,18,"[(2, 2, 2, 2, 0, 2, 2)]"
870,C1CCCSCC1,2,"[(2, 2, 2, 2, 0, 2, 2)]"
871,C1CCNCNC1,5,"[(2, 2, 2, 1, 2, 1, 2)]"
872,C1CCNNCC1,1,"[(2, 2, 2, 1, 1, 2, 2)]"
873,C1CCNOCC1,2,"[(2, 2, 2, 1, 0, 2, 2)]"
874,C1CCOCOC1,3,"[(2, 2, 2, 0, 2, 0, 2)]"
875,C1CCOOCC1,1,"[(2, 2, 2, 0, 0, 2, 2)]"
876,C1CCOSNC1,2,"[(2, 2, 2, 0, 4, 1, 2)]"
877,C1CCOSOC1,1,"[(2, 2, 2, 0, 4, 0, 2)]"
878,C1CCO[SH+]OC1,1,"[(2, 2, 2, 0, 1, 0, 2)]"
879,C1CCSCSC1,3,"[(2, 2, 2, 4, 2, 4, 2), (2, 2, 2, 0, 2, 0, 2)]"
880,C1CCSSCC1,1,"[(2, 2, 2, 0, 0, 2, 2)]"
881,C1CNCCNC1,11,"[(2, 2, 1, 2, 2, 1, 2)]"
882,C1CNCCOC1,9,"[(2, 2, 1, 2, 2, 0, 2)]"
883,C1CNCCSC1,3,"[(2, 2, 1, 2, 2, 0, 2)]"
884,C1CNCNCN1,1,"[(2, 2, 1, 2, 1, 2, 1)]"
885,C1COCCNN1,1,"[(2, 2, 0, 2, 2, 1, 1)]"
886,C1COCCOC1,4,"[(2, 2, 0, 2, 2, 0, 2)]"
887,C1COCNCN1,1,"[(2, 2, 0, 2, 1, 2, 1)]"
888,C1COCOOC1,1,"[(2, 2, 0, 2, 0, 0, 2)]"
889,C1CSCCSC1,2,"[(2, 2, 0, 2, 2, 0, 2)]"
890,C1CSCNCS1,15,"[(2, 2, 0, 2, 1, 2, 0)]"
891,C1CSSCCN1,1,"[(2, 2, 0, 0, 2, 2, 1)]"
892,C1CSSCSS1,1,"[(2, 2, 0, 0, 2, 0, 0)]"
893,C1CSSSSS1,1,"[(2, 2, 0, 0, 0, 0, 0)]"
894,C1NCNNCN1,1,"[(2, 1, 2, 1, 1, 2, 1)]"
895,C1SSCSSS1,1,"[(2, 0, 0, 2, 0, 0, 0)]"
896,C1SSNNSS1,1,"[(2, 0, 0, 1, 1, 0, 0)]"
897,C1SSSSSS1,2,"[(2, 0, 0, 0, 0, 0, 0)]"
898,C1[N-]SN=[S+]N=[S+]1,1,"[(2, 0, 0, 0, 0, 0, 0)]"
899,[BH2-]1C=CCCC=C1,1,"[(2, 1, 1, 2, 2, 1, 1)]"
900,[BH2-]1NCCC=C[NH2+]1,1,"[(2, 1, 2, 2, 1, 1, 2)]"
901,[BH2-]1OC=CC=CO1,2,"[(2, 0, 1, 1, 1, 1, 0)]"
902,[BH2-]1OCC=CNO1,1,"[(2, 0, 2, 1, 1, 1, 0)]"
903,[BH2-]1OCCC=[NH+]O1,1,"[(2, 0, 2, 2, 1, 1, 0)]"
904,[BH2-]1ONCC[NH2+]O1,1,"[(2, 0, 1, 2, 2, 2, 0)]"
905,[BH2-]1SSSSSS1,1,"[(2, 0, 0, 0, 0, 0, 0)]"
906,[BH2-]1[NH2+]C=CCCO1,1,"[(2, 2, 1, 1, 2, 2, 0)]"
